event	time	node	configname	repetition	platoon_size
2315016	482.585405769731	Highway.node[46].appl	SimpleHighNumberCACC	2	5.388910500384
2315208	482.585686866152	Highway.node[44].appl	SimpleHighNumberCACC	2	1.1946507316441e-320
2383874	489.321204484014	Highway.node[50].appl	SimpleHighNumberCACC	2	8.9824660309171
2384078	489.321433580678	Highway.node[48].appl	SimpleHighNumberCACC	2	1.3982057777307e-320
2406457	491.478037699731	Highway.node[61].appl	SimpleHighNumberCACC	2	5.22415195735
2406630	491.478266765965	Highway.node[60].appl	SimpleHighNumberCACC	2	1.5291331738787e-320
24214	56.374763610067	Highway.node[1].appl	SimpleHighNumberCACC	2	5.2887509586446
24307	56.375031676298	Highway.node[0].appl	SimpleHighNumberCACC	2	3.4584595208887e-323
245591	163.125414527766	Highway.node[15].appl	SimpleHighNumberCACC	2	5.2527766740392
245760	163.125721594334	Highway.node[14].appl	SimpleHighNumberCACC	2	2.5790226712913e-321
2513622	502.156496639983	Highway.node[63].appl	SimpleHighNumberCACC	2	5.1049443244397
2513791	502.156738706269	Highway.node[62].appl	SimpleHighNumberCACC	2	1.5844685262129e-320
2571753	507.673807204767	Highway.node[54].appl	SimpleHighNumberCACC	2	7.321284980281
2571917	507.674062301119	Highway.node[52].appl	SimpleHighNumberCACC	2	1.5365441585663e-320
2760715	525.414354673398	Highway.node[65].appl	SimpleHighNumberCACC	2	5.5204349222452
2760892	525.414596739757	Highway.node[64].appl	SimpleHighNumberCACC	2	1.6234997122343e-320
2776354	526.81764333809	Highway.node[32].appl	SimpleHighNumberCACC	2	7.3648658317523
2776666	526.818321351545	Highway.node[28].appl	SimpleHighNumberCACC	2	1.1052248497469e-320
2831247	531.658064204635	Highway.node[67].appl	SimpleHighNumberCACC	2	5.0233324717722
2831416	531.658319270876	Highway.node[66].appl	SimpleHighNumberCACC	2	1.699091756048e-320
2929476	540.611204652502	Highway.node[44].appl	SimpleHighNumberCACC	2	8.1034455978516
2929670	540.611459809126	Highway.node[40].appl	SimpleHighNumberCACC	2	1.6491911258181e-320
3011309	547.804585915126	Highway.node[58].appl	SimpleHighNumberCACC	2	8.3019709981089
3011513	547.804854011544	Highway.node[56].appl	SimpleHighNumberCACC	2	1.6210293840051e-320
3031961	549.516806690666	Highway.node[8].appl	SimpleHighNumberCACC	2	7.4730593762992
3032186	549.517048846934	Highway.node[4].appl	SimpleHighNumberCACC	2	1.1946507316441e-320
3071873	552.776725850394	Highway.node[62].appl	SimpleHighNumberCACC	2	8.3800328902081
3072053	552.776954946582	Highway.node[60].appl	SimpleHighNumberCACC	2	1.7504745832155e-320
3086463	553.98560652641	Highway.node[69].appl	SimpleHighNumberCACC	2	5.4707292962903
3086640	553.985874592827	Highway.node[68].appl	SimpleHighNumberCACC	2	1.7475101893405e-320
315853	184.1646270326	Highway.node[17].appl	SimpleHighNumberCACC	2	5.5857626722255
316030	184.164934099144	Highway.node[16].appl	SimpleHighNumberCACC	2	2.9989784702564e-321
3168011	561.290600575252	Highway.node[71].appl	SimpleHighNumberCACC	2	5.1145720212999
3168180	561.290829642948	Highway.node[70].appl	SimpleHighNumberCACC	2	1.8216200362167e-320
3329596	575.494151077409	Highway.node[73].appl	SimpleHighNumberCACC	2	5.0852598677698
3329757	575.494367143742	Highway.node[72].appl	SimpleHighNumberCACC	2	1.8833782419468e-320
3565064	596.134061613616	Highway.node[75].appl	SimpleHighNumberCACC	2	5.5215524811489
3565222	596.134342680308	Highway.node[74].appl	SimpleHighNumberCACC	2	1.9322907408851e-320
372996	199.49846673545	Highway.node[19].appl	SimpleHighNumberCACC	2	5.5548358382366
373169	199.498747801661	Highway.node[18].appl	SimpleHighNumberCACC	2	3.5226880548481e-321
3746043	611.405391727326	Highway.node[77].appl	SimpleHighNumberCACC	2	5.4769353563079
3746214	611.405659793855	Highway.node[76].appl	SimpleHighNumberCACC	2	1.9970133404903e-320
3777977	614.068877403356	Highway.node[52].appl	SimpleHighNumberCACC	2	9.4758230401768
3778137	614.069171560077	Highway.node[48].appl	SimpleHighNumberCACC	2	1.6126302680258e-320
384607	202.217132240913	Highway.node[10].appl	SimpleHighNumberCACC	2	8.1572615583964
3846854	619.652715406923	Highway.node[79].appl	SimpleHighNumberCACC	2	5.1910312599971
3847012	619.652996473472	Highway.node[78].appl	SimpleHighNumberCACC	2	2.0651943996164e-320
384787	202.217348337603	Highway.node[8].appl	SimpleHighNumberCACC	2	3.581975932349e-321
3991562	631.565943963858	Highway.node[66].appl	SimpleHighNumberCACC	2	5.6067487371059
3991754	631.56621206008	Highway.node[64].appl	SimpleHighNumberCACC	2	1.7287356947985e-320
399475	205.630375895263	Highway.node[21].appl	SimpleHighNumberCACC	2	5.4074800125778
399636	205.630604962736	Highway.node[20].appl	SimpleHighNumberCACC	2	4.2242612719427e-321
4057387	636.803449320269	Highway.node[81].appl	SimpleHighNumberCACC	2	5.3727493250188
4057560	636.803691386942	Highway.node[80].appl	SimpleHighNumberCACC	2	2.1047196512837e-320
4198089	648.21268907357	Highway.node[83].appl	SimpleHighNumberCACC	2	5.242844788063
4198258	648.21294414017	Highway.node[82].appl	SimpleHighNumberCACC	2	2.163019397493e-320
4226222	650.333470017101	Highway.node[40].appl	SimpleHighNumberCACC	2	10.080880525833
4226367	650.333751173304	Highway.node[36].appl	SimpleHighNumberCACC	2	1.811244657654e-320
4367632	661.582920580966	Highway.node[85].appl	SimpleHighNumberCACC	2	5.175424196824
4367795	661.583188647678	Highway.node[84].appl	SimpleHighNumberCACC	2	2.2183547498272e-320
4382176	662.71815168661	Highway.node[74].appl	SimpleHighNumberCACC	2	7.5471339659868
4382356	662.718393782821	Highway.node[72].appl	SimpleHighNumberCACC	2	2.081992631575e-320
445704	216.955816406883	Highway.node[23].appl	SimpleHighNumberCACC	2	5.0189585212664
445865	216.956097473172	Highway.node[22].appl	SimpleHighNumberCACC	2	4.7825554517433e-321
4470495	669.64255171381	Highway.node[60].appl	SimpleHighNumberCACC	2	10.221540228587
4470707	669.642845870305	Highway.node[56].appl	SimpleHighNumberCACC	2	1.8937536205095e-320
4750525	691.171529576983	Highway.node[87].appl	SimpleHighNumberCACC	2	5.7894953176507
4750702	691.171784643403	Highway.node[86].appl	SimpleHighNumberCACC	2	2.2450342947026e-320
4803430	695.059026756985	Highway.node[89].appl	SimpleHighNumberCACC	2	5.0824163395545
4803581	695.059268823222	Highway.node[88].appl	SimpleHighNumberCACC	2	2.3334720453082e-320
4861311	699.377150220306	Highway.node[78].appl	SimpleHighNumberCACC	2	6.7220870356822
4861475	699.377379316831	Highway.node[76].appl	SimpleHighNumberCACC	2	2.1289288679299e-320
5074084	715.229940786991	Highway.node[91].appl	SimpleHighNumberCACC	2	5.5054824913391
